origin_ts,actual_end_ts,mae,rmse,smape,ticker,interval,context_len,horizon_len
2026-04-21T19:55:00,2026-04-22T15:25:00,0.1477238337198893,0.19355853904069706,0.23083129594416157,O,5m,2048,24
2026-04-22T14:10:00,2026-04-22T16:10:00,0.23119544982910156,0.28654266844588083,0.3620713329582374,O,5m,2048,24
2026-04-22T15:40:00,2026-04-22T17:40:00,0.0768893559773763,0.09681421855909422,0.12095385922084682,O,5m,2048,24
2026-04-22T16:45:00,2026-04-22T18:45:00,0.08109490076700847,0.09692411069301822,0.12783920631483245,O,5m,2048,24
2026-04-22T17:45:00,2026-04-22T19:45:00,0.15748310089111328,0.17457065680474956,0.24843697527358832,O,5m,2048,24
2026-04-22T18:50:00,2026-04-23T14:20:00,0.3460833231608073,0.4440956595343663,0.5452316070430407,O,5m,2048,24
2026-04-22T19:55:00,2026-04-23T15:25:00,0.5393678347269694,0.5454532285807266,0.8481392705050448,O,5m,2048,24
2026-04-23T14:15:00,2026-04-23T16:15:00,0.03340371449788412,0.04236094897858839,0.05228401032223501,O,5m,2048,24
2026-04-23T16:10:00,2026-04-23T18:10:00,0.058763345082600914,0.06358740428254338,0.09198836183831395,O,5m,2048,24
2026-04-23T17:45:00,2026-04-23T19:45:00,0.2109238306681315,0.21605953862685945,0.3302095510167332,O,5m,2048,24
2026-04-23T18:50:00,2026-04-24T14:20:00,0.07236433029174805,0.08760809578250857,0.11309800703683737,O,5m,2048,24
2026-04-23T19:55:00,2026-04-24T15:25:00,0.22424729665120444,0.26689412621017844,0.35068722821184073,O,5m,2048,24
